"","x","y","z"
"1",1,0.0694330386104555,0.00159768197204046
"2",2,0.0127677261028465,0.562099266554977
"3",3,0.131321837058066,2.1184544297679e-09
"4",4,0.194734643211723,4.36630109404727e-19
"5",5,0.180008508817275,1.71550873782905e-16
"6",6,0.0984949914425328,7.3619770813894e-06
"7",7,0.135508841310257,6.36407361908235e-10
"8",8,0.203474665944468,9.97169998753807e-21
"9",9,0.120301292027836,4.20427802183867e-08
"10",10,0.138197689412823,2.88254716511047e-10
"11",11,0.165388258272226,3.98833109292318e-14
"12",12,0.073994065071317,0.000767602998932012
